Date,Open,High,Low,Close,Volume,Split,Source
2020-12-31,751.626648,754.299438,726.511902,737.803406,13926846861,real_test,yfinance
2021-01-01,737.708374,749.201843,719.792236,730.367554,13652004358,real_test,yfinance
2021-01-02,730.402649,786.798462,718.109497,774.534973,19740771179,real_test,yfinance
2021-01-03,774.511841,1006.565002,771.561646,975.50769,45200463368,real_test,yfinance
2021-01-04,977.058838,1153.189209,912.305359,1040.233032,56945985763,real_test,yfinance
2021-01-05,1041.498779,1129.37146,986.811279,1100.006104,41535932781,real_test,yfinance
2021-01-06,1101.005005,1209.428589,1064.233398,1207.112183,44699914188,real_test,yfinance
2021-01-07,1208.078369,1282.57959,1167.443115,1225.678101,40468027280,real_test,yfinance
2021-01-08,1225.967896,1273.827515,1076.081543,1224.197144,44334826666,real_test,yfinance
2021-01-09,1223.740479,1303.871826,1182.270386,1281.077271,33233105361,real_test,yfinance
2021-01-10,1280.871094,1347.926147,1194.715576,1262.246704,40616938053,real_test,yfinance
2021-01-11,1261.622925,1261.622925,924.922607,1090.145386,60733630300,real_test,yfinance
2021-01-12,1088.526733,1149.240234,1012.76416,1043.43457,37494601692,real_test,yfinance
2021-01-13,1043.740967,1134.338501,994.549072,1130.73938,30109792795,real_test,yfinance
2021-01-14,1130.231201,1244.163086,1093.060791,1218.453003,33410915929,real_test,yfinance
2021-01-15,1221.877197,1250.505859,1090.721069,1171.834595,35972039310,real_test,yfinance
2021-01-16,1171.443115,1290.053589,1157.623779,1233.537598,32319240157,real_test,yfinance
2021-01-17,1233.453369,1265.644653,1174.38855,1230.172241,29258032819,real_test,yfinance
2021-01-18,1230.313232,1259.450073,1187.311035,1257.279541,25817455560,real_test,yfinance
2021-01-19,1257.43457,1432.300049,1254.522949,1377.295898,47195935190,real_test,yfinance
2021-01-20,1375.248413,1405.744141,1243.299927,1382.274048,46784030909,real_test,yfinance
2021-01-21,1382.684448,1382.684448,1098.476196,1121.570923,45932464754,real_test,yfinance
2021-01-22,1118.889038,1271.687622,1046.596558,1236.512207,43918338506,real_test,yfinance
2021-01-23,1235.267944,1272.151123,1200.893311,1230.990601,27253895441,real_test,yfinance
2021-01-24,1231.210571,1395.111328,1225.274048,1391.609375,36418163554,real_test,yfinance
2021-01-25,1390.639893,1467.784912,1304.973999,1324.414795,43565777745,real_test,yfinance
2021-01-26,1323.741699,1376.085083,1253.340332,1357.058105,41572917750,real_test,yfinance
2021-01-27,1358.333374,1368.074097,1215.311279,1253.187134,39394416990,real_test,yfinance
2021-01-28,1251.279785,1356.288696,1226.17395,1332.492188,34637234789,real_test,yfinance
2021-01-29,1369.086792,1428.981201,1292.240112,1382.522827,53611955259,real_test,yfinance
2021-01-30,1382.231934,1402.39978,1328.529053,1376.115479,30616574234,real_test,yfinance
2021-01-31,1376.823608,1378.916016,1288.501587,1314.986206,25198853581,real_test,yfinance
2021-02-01,1314.855225,1373.845825,1274.357788,1369.040527,29210670920,real_test,yfinance
2021-02-02,1369.505127,1542.990967,1362.77124,1515.193726,45437142801,real_test,yfinance
2021-02-03,1514.769653,1660.909546,1510.010254,1660.909546,41874566399,real_test,yfinance
2021-02-04,1661.170166,1689.186646,1561.853516,1594.762695,44396871836,real_test,yfinance
2021-02-05,1594.793335,1756.510986,1594.793335,1718.650879,40108628454,real_test,yfinance
2021-02-06,1717.797485,1738.314453,1649.068726,1677.846802,39873420648,real_test,yfinance
2021-02-07,1677.605713,1690.036621,1501.750244,1614.227783,39889440151,real_test,yfinance
2021-02-08,1613.642212,1770.59082,1571.579956,1746.616821,48012285956,real_test,yfinance
2021-02-09,1746.926147,1815.963623,1711.620605,1768.035034,44180727529,real_test,yfinance
2021-02-10,1768.039795,1826.696777,1686.542358,1744.243408,41916084617,real_test,yfinance
2021-02-11,1743.714233,1806.539062,1708.679199,1783.797974,36021495262,real_test,yfinance
2021-02-12,1783.489136,1861.356934,1744.168945,1843.532593,37905036865,real_test,yfinance
2021-02-13,1843.986816,1871.603516,1770.612061,1814.109863,35359490535,real_test,yfinance
