Date,Open,High,Low,Close,Volume,Split,Source
2021-12-31,519.123047,527.697327,507.885712,511.708313,2020489898,real_test,yfinance
2022-01-01,511.91037,527.352722,511.903534,527.352722,1622547014,real_test,yfinance
2022-01-02,527.291626,533.371033,518.75354,531.396667,1462276185,real_test,yfinance
2022-01-03,531.388855,532.095581,510.652161,512.135986,1949153130,real_test,yfinance
2022-01-04,512.13031,519.70166,503.215363,507.506104,2200879165,real_test,yfinance
2022-01-05,507.597809,515.239197,462.057556,475.056946,2870757788,real_test,yfinance
2022-01-06,475.079071,481.062836,460.248505,473.275604,4400228627,real_test,yfinance
2022-01-07,473.000061,474.296204,439.26001,447.788483,4613172287,real_test,yfinance
2022-01-08,447.856812,458.483795,419.195465,430.246155,4068139021,real_test,yfinance
2022-01-09,430.253113,444.493256,428.239502,438.80307,3347862691,real_test,yfinance
2022-01-10,438.785645,445.036163,408.698792,424.933777,4156063326,real_test,yfinance
2022-01-11,424.891205,467.281067,422.000916,463.518311,4600615710,real_test,yfinance
2022-01-12,463.562744,489.327301,457.116119,487.007416,4131335431,real_test,yfinance
2022-01-13,487.042572,488.211243,467.87561,475.029114,4151007744,real_test,yfinance
2022-01-14,475.127197,491.660645,468.939606,489.867432,3112235914,real_test,yfinance
2022-01-15,489.917999,501.311127,486.305908,494.988068,1766015929,real_test,yfinance
2022-01-16,494.924103,505.300964,489.502136,498.427917,1771927950,real_test,yfinance
2022-01-17,498.506165,498.943909,468.576508,475.709869,2134608006,real_test,yfinance
2022-01-18,475.73642,479.662109,458.152466,472.005066,2106859289,real_test,yfinance
2022-01-19,471.917206,472.774292,454.758606,462.822083,1780063381,real_test,yfinance
2022-01-20,462.856964,478.353943,439.978058,440.005432,1881741995,real_test,yfinance
2022-01-21,440.067139,444.180237,376.770172,383.073914,3647221590,real_test,yfinance
2022-01-22,383.474548,388.911987,340.05481,358.096161,4226932408,real_test,yfinance
2022-01-23,358.326599,388.593903,357.170654,383.93396,2786834863,real_test,yfinance
2022-01-24,384.040619,384.040619,337.853943,371.368958,3210871602,real_test,yfinance
2022-01-25,371.386841,387.176849,358.083557,384.619354,2325661159,real_test,yfinance
2022-01-26,384.586243,400.152069,367.575104,375.755463,2226973227,real_test,yfinance
2022-01-27,375.542175,391.804382,360.331696,390.088287,1952844398,real_test,yfinance
2022-01-28,390.000671,393.37558,376.752167,386.084381,1592850476,real_test,yfinance
2022-01-29,386.065735,396.772278,381.683777,389.132782,1330610935,real_test,yfinance
2022-01-30,389.202209,389.247192,373.036285,377.612915,1289330238,real_test,yfinance
2022-01-31,377.648987,384.977386,366.11203,375.277313,1386778184,real_test,yfinance
2022-02-01,375.099182,387.767548,374.326843,385.463806,1392647608,real_test,yfinance
2022-02-02,385.48877,386.114716,366.895386,367.47168,1290849744,real_test,yfinance
2022-02-03,367.37085,370.877747,360.491333,370.877747,1202744039,real_test,yfinance
2022-02-04,370.710846,399.216522,369.817627,399.029602,1711084752,real_test,yfinance
2022-02-05,399.148865,430.347778,396.933716,414.200012,2039010962,real_test,yfinance
2022-02-06,414.217255,421.113434,408.613068,419.545563,1427593921,real_test,yfinance
2022-02-07,419.666443,438.641571,414.249725,433.229279,1755674427,real_test,yfinance
2022-02-08,433.459106,444.288605,407.164307,408.776764,2247004672,real_test,yfinance
2022-02-09,408.516907,427.393524,407.949799,422.465546,1601745132,real_test,yfinance
2022-02-10,422.514038,434.171448,411.245483,415.119232,2037888603,real_test,yfinance
2022-02-11,415.187195,419.286011,393.977325,400.422394,1714654174,real_test,yfinance
2022-02-12,400.499023,407.13974,394.7995,403.38974,1372516416,real_test,yfinance
2022-02-13,403.271576,406.712769,395.655334,398.88678,1151509777,real_test,yfinance
2022-02-14,398.643127,403.934479,391.383667,403.660797,1269083662,real_test,yfinance
2022-02-15,403.664215,436.248108,403.09494,432.409393,2538883559,real_test,yfinance
2022-02-16,432.491943,433.428741,423.078247,427.918121,1670788158,real_test,yfinance
2022-02-17,427.549927,431.018372,400.806671,402.450043,1644013199,real_test,yfinance
2022-02-18,402.649841,410.942932,393.816284,399.569183,1554511893,real_test,yfinance
2022-02-19,399.521423,406.380951,393.933655,400.043579,1192395484,real_test,yfinance
2022-02-20,400.003387,400.131439,376.007965,380.825928,1431745519,real_test,yfinance
2022-02-21,380.736542,393.624084,356.184967,356.661255,2164511484,real_test,yfinance
2022-02-22,356.725464,374.859344,350.147583,374.307465,2037210077,real_test,yfinance
2022-02-23,374.299286,383.24762,366.53949,366.53949,1644707704,real_test,yfinance
2022-02-24,366.349182,368.168518,324.483673,361.23465,2972951900,real_test,yfinance
2022-02-25,361.216003,376.802612,357.366547,374.914948,1839035023,real_test,yfinance
2022-02-26,374.88858,385.210327,371.475037,373.638763,1319208551,real_test,yfinance
2022-02-27,373.599976,380.959076,359.625519,360.531036,1600855952,real_test,yfinance
2022-02-28,360.382172,396.457336,356.617584,395.612427,1868349380,real_test,yfinance
2022-03-01,395.624115,418.48996,391.329224,408.4823,2885318336,real_test,yfinance
2022-03-02,408.518524,414.912842,404.53479,409.000305,2045870796,real_test,yfinance
2022-03-03,409.032745,412.800598,397.906342,402.55069,1598018507,real_test,yfinance
2022-03-04,402.575195,402.916718,372.868408,374.280884,1740563403,real_test,yfinance
2022-03-05,374.44165,386.844055,368.17572,384.873352,1321262776,real_test,yfinance
2022-03-06,384.911804,387.164093,373.017944,375.0112,1305295273,real_test,yfinance
2022-03-07,375.071594,384.417572,364.431366,381.344635,2058321705,real_test,yfinance
2022-03-08,381.254761,387.629791,377.705566,381.958557,1684540144,real_test,yfinance
2022-03-09,382.042633,402.028076,381.840546,393.555756,2425559108,real_test,yfinance
2022-03-10,393.480377,394.404114,364.087891,372.159027,2105808203,real_test,yfinance
2022-03-11,372.196136,379.571716,365.608276,372.184052,1550840418,real_test,yfinance
2022-03-12,372.186188,379.195648,372.126862,372.730377,1211417865,real_test,yfinance
2022-03-13,372.608887,376.928406,361.150879,361.849823,1242011950,real_test,yfinance
2022-03-14,361.834534,373.609528,360.301849,373.466156,1455465550,real_test,yfinance
2022-03-15,373.472412,374.333282,362.684753,371.628845,1360640456,real_test,yfinance
2022-03-16,371.542786,386.363251,368.481659,385.528229,1788844135,real_test,yfinance
2022-03-17,385.459564,392.870422,382.161469,391.824738,1635657390,real_test,yfinance
2022-03-18,391.778778,399.923523,384.248322,397.645508,1666543771,real_test,yfinance
2022-03-19,397.561646,406.003723,395.414795,399.853546,1532550954,real_test,yfinance
2022-03-20,399.919739,400.610718,386.766724,390.768372,1334193471,real_test,yfinance
2022-03-21,390.738953,398.961731,386.561371,396.447815,1657341491,real_test,yfinance
2022-03-22,396.355591,409.642548,395.575745,404.314941,1795119554,real_test,yfinance
2022-03-23,404.327271,411.029572,398.855865,408.609772,1645651129,real_test,yfinance
2022-03-24,408.55426,416.505402,406.011566,414.126984,1831451218,real_test,yfinance
2022-03-25,414.148254,421.153717,406.296051,410.811157,1678265707,real_test,yfinance
2022-03-26,410.816254,416.317535,407.981262,415.9198,1082240527,real_test,yfinance
2022-03-27,415.931366,431.025574,412.382904,430.503265,1499505093,real_test,yfinance
2022-03-28,430.546814,440.728394,428.565216,430.390869,2128699500,real_test,yfinance
2022-03-29,430.07489,441.507538,430.07489,434.505676,1987696098,real_test,yfinance
2022-03-30,434.429718,448.947174,427.692078,442.684845,2181737151,real_test,yfinance
2022-03-31,442.658875,451.96109,424.950287,428.916107,2632534284,real_test,yfinance
2022-04-01,429.124023,446.796539,414.74939,446.604279,2718206274,real_test,yfinance
2022-04-02,446.844208,453.558472,436.776703,436.955353,2272901729,real_test,yfinance
2022-04-03,436.865814,455.228455,432.821716,450.348877,2128734028,real_test,yfinance
2022-04-04,450.264557,450.432617,434.178009,447.524933,2248856403,real_test,yfinance
2022-04-05,447.630035,459.805573,445.038605,445.172607,2268650039,real_test,yfinance
2022-04-06,445.001129,445.027649,418.881134,420.146362,2323241738,real_test,yfinance
2022-04-07,420.182648,438.293701,417.601044,436.796783,2125042415,real_test,yfinance
2022-04-08,436.934509,440.642975,419.433289,421.677246,1951923760,real_test,yfinance
2022-04-09,421.665344,428.020782,420.272552,427.153046,1399108286,real_test,yfinance
2022-04-10,427.14975,429.364105,418.590668,418.590668,1410282903,real_test,yfinance
2022-04-11,418.658447,419.490784,392.109924,394.086884,2192782724,real_test,yfinance
2022-04-12,394.288788,416.635803,393.166809,413.873932,2140526232,real_test,yfinance
2022-04-13,413.812653,424.335938,411.059265,423.130157,1932053164,real_test,yfinance
2022-04-14,423.067017,426.80722,412.047119,414.663727,1615484732,real_test,yfinance
2022-04-15,414.667114,419.796967,413.272614,417.293732,1242920077,real_test,yfinance
2022-04-16,417.293884,418.6586,411.912903,417.478455,1022481382,real_test,yfinance
2022-04-17,417.41153,417.880676,406.168304,407.377716,1088306780,real_test,yfinance
2022-04-18,407.432922,417.94696,397.149658,416.968414,1925668122,real_test,yfinance
2022-04-19,417.00766,424.274017,415.099396,422.387054,1854452731,real_test,yfinance
2022-04-20,422.364288,430.975159,415.728394,418.354248,2035166767,real_test,yfinance
2022-04-21,418.316864,425.474121,402.079681,405.021454,2190281843,real_test,yfinance
2022-04-22,404.96698,413.28125,404.109039,406.987518,1895749713,real_test,yfinance
2022-04-23,406.993347,407.897064,399.278412,401.652466,1354484386,real_test,yfinance
2022-04-24,401.525024,405.430573,398.346619,399.105377,1222468479,real_test,yfinance
2022-04-25,399.129913,404.873901,383.190674,404.350281,1910707893,real_test,yfinance
2022-04-26,404.26886,407.084503,382.080994,385.483063,1671963898,real_test,yfinance
2022-04-27,385.562164,394.458527,384.077698,391.445831,1512587369,real_test,yfinance
2022-04-28,391.43866,408.232452,388.877655,406.718201,2116381172,real_test,yfinance
2022-04-29,406.641724,410.175781,390.539978,393.062164,1928209754,real_test,yfinance
2022-04-30,392.998535,399.593079,377.767822,377.767822,1467605770,real_test,yfinance
2022-05-01,377.765656,391.076996,377.289948,390.281982,1553846706,real_test,yfinance
2022-05-02,390.261261,392.216705,382.774414,389.670654,1388077917,real_test,yfinance
2022-05-03,389.634155,391.754761,380.346222,383.4758,1295877765,real_test,yfinance
2022-05-04,383.483551,402.862701,383.42804,402.502655,1714496792,real_test,yfinance
2022-05-05,402.46521,412.40036,372.552765,378.773621,2389487319,real_test,yfinance
2022-05-06,378.756744,382.681091,371.973328,379.304291,1834770716,real_test,yfinance
2022-05-07,379.288177,380.387421,361.195587,365.684113,1527960119,real_test,yfinance
2022-05-08,365.733002,366.509583,351.143768,355.398743,1875845651,real_test,yfinance
2022-05-09,355.377411,358.950714,299.348938,299.348938,2943374129,real_test,yfinance
2022-05-10,298.820709,332.438843,290.586792,319.326965,3210603809,real_test,yfinance
2022-05-11,319.122772,322.766815,262.620453,269.962769,3870618668,real_test,yfinance
2022-05-12,269.888,283.475128,216.361496,269.407257,4739990237,real_test,yfinance
2022-05-13,269.142731,312.688782,265.709595,290.584198,2774121165,real_test,yfinance
2022-05-14,290.618073,298.802856,272.651154,297.387604,1884570404,real_test,yfinance
2022-05-15,297.397369,312.176544,286.643768,312.007721,1611088257,real_test,yfinance
2022-05-16,312.084137,312.144257,290.461823,297.710114,1754184298,real_test,yfinance
2022-05-17,297.69931,310.194458,296.961792,305.96344,1584497815,real_test,yfinance
2022-05-18,305.989868,307.711456,287.438782,287.438782,1520090732,real_test,yfinance
2022-05-19,287.45047,307.959808,287.2146,306.791565,1646882950,real_test,yfinance
